OID,GridID,H,Q,COMID
-1,1,1.000000000000000,217.527480843470954,154835
-1,1,2.000000000000000,743.549470899454604,154835
-1,1,3.000000000000000,1591.887310553457155,154835
-1,1,4.000000000000000,2836.230873063689614,154835
-1,1,5.000000000000000,4247.181531530887696,154835
-1,1,6.000000000000000,6242.007895142803136,154835
-1,1,7.000000000000000,8842.691443960418837,154835
-1,1,8.000000000000000,11739.258227030808484,154835
-1,1,9.000000000000000,15106.205598419164744,154835
-1,1,10.000000000000000,18867.981719482333574,154835
-1,1,11.000000000000000,23254.620635901821515,154835
-1,1,12.000000000000000,28488.707857548342872,154835
-1,1,13.000000000000000,34415.614152593210747,154835
-1,1,14.000000000000000,40992.986067431149422,154835
-1,1,15.000000000000000,48001.963058259105310,154835
-1,1,16.000000000000000,55264.170127577715903,154835
-1,1,17.000000000000000,62110.130247401059023,154835
-1,1,18.000000000000000,71341.328964617598103,154835
-1,1,19.000000000000000,82055.839009709554375,154835
-1,1,20.000000000000000,94480.282490079276613,154835
-1,1,21.000000000000000,107680.543864076258615,154835
-1,1,22.000000000000000,121892.647321572629153,154835
-1,1,23.000000000000000,136462.726786589686526,154835
-1,1,24.000000000000000,152814.323160444269888,154835
-1,1,25.000000000000000,170037.615458693471737,154835
-1,1,26.000000000000000,188162.497888086712919,154835
-1,1,27.000000000000000,206513.840982929221354,154835
-1,1,28.000000000000000,225349.863771683652885,154835
-1,1,29.000000000000000,244825.584674101119163,154835
-1,1,30.000000000000000,264284.105468970199581,154835
-1,1,31.000000000000000,281888.320844921050593,154835
-1,1,32.000000000000000,298658.244980296876747,154835
-1,1,33.000000000000000,317828.995412684802432,154835
-1,1,34.000000000000000,338972.866069288924336,154835
-1,1,35.000000000000000,361223.161928705521859,154835
-1,1,36.000000000000000,387452.660653895116411,154835
-1,1,37.000000000000000,417191.875046762172133,154835
-1,1,38.000000000000000,449282.023030028271023,154835
-1,1,39.000000000000000,485020.099359630374238,154835
-1,1,40.000000000000000,522971.126674673520029,154835
-1,268,1.000000000000000,477.539521721207393,154840
-1,268,2.000000000000000,1647.322479142370412,154840
-1,268,3.000000000000000,3315.017558916627877,154840
-1,268,4.000000000000000,5415.602008436539109,154840
-1,268,5.000000000000000,7870.443156700511281,154840
-1,268,6.000000000000000,10422.167142458885792,154840
-1,268,7.000000000000000,13016.724953057942912,154840
-1,268,8.000000000000000,16277.311736937928799,154840
-1,268,9.000000000000000,20084.475064267993730,154840
-1,268,10.000000000000000,22177.911862612556433,154840
-1,268,11.000000000000000,27305.662425555299706,154840
-1,268,12.000000000000000,31464.177119970674539,154840
-1,268,13.000000000000000,37441.958744706927973,154840
-1,268,14.000000000000000,44079.693029578971618,154840
-1,268,15.000000000000000,51590.221467407151067,154840
-1,268,16.000000000000000,60339.861736429069424,154840
-1,268,17.000000000000000,69791.354198768865899,154840
-1,268,18.000000000000000,81028.565487064799527,154840
-1,268,19.000000000000000,93616.513428048288915,154840
-1,268,20.000000000000000,106273.287549059983576,154840
-1,268,21.000000000000000,120311.336443490654347,154840
-1,268,22.000000000000000,134112.078317740088096,154840
-1,268,23.000000000000000,150152.116606795345433,154840
-1,268,24.000000000000000,164334.693519027438015,154840
-1,268,25.000000000000000,180890.643531558540417,154840
-1,268,26.000000000000000,200926.790143120888388,154840
-1,268,27.000000000000000,222055.074988808075432,154840
-1,268,28.000000000000000,243721.799992213724181,154840
-1,268,29.000000000000000,268624.604967542632949,154840
-1,268,30.000000000000000,295442.194422059343196,154840
-1,268,31.000000000000000,324152.076127439737320,154840
-1,268,32.000000000000000,354408.321899965405464,154840
-1,268,33.000000000000000,387235.737931275041774,154840
-1,268,34.000000000000000,422372.153607131040189,154840
-1,268,35.000000000000000,458732.891016163222957,154840
-1,268,36.000000000000000,497764.122927700867876,154840
-1,268,37.000000000000000,538009.308755729696713,154840
-1,268,38.000000000000000,579318.271961224731058,154840
-1,268,39.000000000000000,622825.830225797835737,154840
-1,268,40.000000000000000,667494.319067950709723,154840
-1,122,1.000000000000000,209.579987628026487,155029
-1,122,2.000000000000000,877.072360200158528,155029
-1,122,3.000000000000000,2296.890672625526804,155029
-1,122,4.000000000000000,4624.981273692014838,155029
-1,122,5.000000000000000,7869.233922686197729,155029
-1,122,6.000000000000000,11253.527791776177764,155029
